"Depth","Time","Name","Data"
"1","0.142494000","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.172272750","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.173009000","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.173744750","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.202273000","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.203008875","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.203744750","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.241022500","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.241758750","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.242494625","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.271022500","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.271758875","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.272494625","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.301022625","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.301758875","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.332273125","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.333008875","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.333745000","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.369773375","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.370509625","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.371245500","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.401023875","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.401759750","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.402495625","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
"1","0.434773375","Connectable Undirected Adv Packet (68:50:8C:23:70:C1, Flags, Local Name, Name=""CloudPrint_0159"", Service Uuids (Complete), Services=Device Information, Manufacturer Specific Data, Manuf=2 bytes)","20 24 C1 70 23 8C 50 68 02 01 06 10 09 43 6C 6F 75 64 50 72 69 6E 74 5F 30 31 35 39 03 03 0A 18 05 FF 2B 1A 01 04 9B 5D 8C"
